,w_index,c1_index,c2_index,ITC
0,0.0,0.0,0.0,1195.0
1,0.0,0.0,1.0,1051.0
2,0.0,0.0,2.0,953.0
3,0.0,0.0,3.0,1018.0
4,0.0,0.0,4.0,873.0
5,0.0,0.0,5.0,860.0
6,0.0,0.0,6.0,817.0
7,0.0,0.0,7.0,749.0
8,0.0,0.0,8.0,685.0
9,0.0,0.0,9.0,663.0
10,0.0,0.0,10.0,654.0
11,0.0,0.0,11.0,671.0
12,0.0,0.0,12.0,637.0
13,0.0,0.0,13.0,699.0
14,0.0,0.0,14.0,573.0
15,0.0,0.0,15.0,629.0
16,0.0,0.0,16.0,628.0
17,0.0,0.0,17.0,657.0
18,0.0,0.0,18.0,581.0
19,0.0,0.0,19.0,734.0
20,0.0,0.0,20.0,656.0
21,0.0,0.0,21.0,711.0
22,0.0,0.0,22.0,836.0
23,0.0,0.0,23.0,906.0
24,0.0,0.0,24.0,821.0
25,0.0,1.0,0.0,1363.0
26,0.0,1.0,1.0,1295.0
27,0.0,1.0,2.0,1091.0
28,0.0,1.0,3.0,1066.0
29,0.0,1.0,4.0,899.0
30,0.0,1.0,5.0,839.0
31,0.0,1.0,6.0,845.0
32,0.0,1.0,7.0,878.0
33,0.0,1.0,8.0,697.0
34,0.0,1.0,9.0,698.0
35,0.0,1.0,10.0,650.0
36,0.0,1.0,11.0,606.0
37,0.0,1.0,12.0,663.0
38,0.0,1.0,13.0,621.0
39,0.0,1.0,14.0,632.0
40,0.0,1.0,15.0,622.0
41,0.0,1.0,16.0,588.0
42,0.0,1.0,17.0,725.0
43,0.0,1.0,18.0,646.0
44,0.0,1.0,19.0,703.0
45,0.0,1.0,20.0,800.0
46,0.0,1.0,21.0,773.0
47,0.0,1.0,22.0,880.0
48,0.0,1.0,23.0,961.0
49,0.0,1.0,24.0,878.0
50,0.0,2.0,0.0,1225.0
51,0.0,2.0,1.0,1723.0
52,0.0,2.0,2.0,1362.0
53,0.0,2.0,3.0,1205.0
54,0.0,2.0,4.0,1029.0
55,0.0,2.0,5.0,946.0
56,0.0,2.0,6.0,795.0
57,0.0,2.0,7.0,781.0
58,0.0,2.0,8.0,770.0
59,0.0,2.0,9.0,620.0
60,0.0,2.0,10.0,656.0
61,0.0,2.0,11.0,709.0
62,0.0,2.0,12.0,621.0
63,0.0,2.0,13.0,618.0
64,0.0,2.0,14.0,744.0
65,0.0,2.0,15.0,635.0
66,0.0,2.0,16.0,641.0
67,0.0,2.0,17.0,588.0
68,0.0,2.0,18.0,759.0
69,0.0,2.0,19.0,654.0
70,0.0,2.0,20.0,733.0
71,0.0,2.0,21.0,866.0
72,0.0,2.0,22.0,901.0
73,0.0,2.0,23.0,936.0
74,0.0,2.0,24.0,831.0
75,0.0,3.0,0.0,1080.0
76,0.0,3.0,1.0,1555.0
77,0.0,3.0,2.0,1379.0
78,0.0,3.0,3.0,1321.0
79,0.0,3.0,4.0,1266.0
80,0.0,3.0,5.0,1004.0
81,0.0,3.0,6.0,945.0
82,0.0,3.0,7.0,799.0
83,0.0,3.0,8.0,801.0
84,0.0,3.0,9.0,648.0
85,0.0,3.0,10.0,734.0
86,0.0,3.0,11.0,662.0
87,0.0,3.0,12.0,655.0
88,0.0,3.0,13.0,651.0
89,0.0,3.0,14.0,698.0
90,0.0,3.0,15.0,703.0
91,0.0,3.0,16.0,647.0
92,0.0,3.0,17.0,740.0
93,0.0,3.0,18.0,693.0
94,0.0,3.0,19.0,803.0
95,0.0,3.0,20.0,694.0
96,0.0,3.0,21.0,922.0
97,0.0,3.0,22.0,958.0
98,0.0,3.0,23.0,1030.0
99,0.0,3.0,24.0,1068.0
100,0.0,4.0,0.0,963.0
101,0.0,4.0,1.0,1864.0
102,0.0,4.0,2.0,1603.0
103,0.0,4.0,3.0,1443.0
104,0.0,4.0,4.0,1275.0
105,0.0,4.0,5.0,1188.0
106,0.0,4.0,6.0,1025.0
107,0.0,4.0,7.0,870.0
108,0.0,4.0,8.0,777.0
109,0.0,4.0,9.0,756.0
110,0.0,4.0,10.0,777.0
111,0.0,4.0,11.0,711.0
112,0.0,4.0,12.0,656.0
113,0.0,4.0,13.0,686.0
114,0.0,4.0,14.0,637.0
115,0.0,4.0,15.0,697.0
116,0.0,4.0,16.0,728.0
117,0.0,4.0,17.0,721.0
118,0.0,4.0,18.0,779.0
119,0.0,4.0,19.0,854.0
120,0.0,4.0,20.0,807.0
121,0.0,4.0,21.0,968.0
122,0.0,4.0,22.0,1052.0
123,0.0,4.0,23.0,1158.0
124,0.0,4.0,24.0,1130.0
125,0.0,5.0,0.0,912.0
126,0.0,5.0,1.0,1994.0
127,0.0,5.0,2.0,1897.0
128,0.0,5.0,3.0,1536.0
129,0.0,5.0,4.0,1262.0
130,0.0,5.0,5.0,1199.0
131,0.0,5.0,6.0,1026.0
132,0.0,5.0,7.0,1018.0
133,0.0,5.0,8.0,858.0
134,0.0,5.0,9.0,850.0
135,0.0,5.0,10.0,795.0
136,0.0,5.0,11.0,769.0
137,0.0,5.0,12.0,731.0
138,0.0,5.0,13.0,723.0
139,0.0,5.0,14.0,799.0
140,0.0,5.0,15.0,786.0
141,0.0,5.0,16.0,790.0
142,0.0,5.0,17.0,794.0
143,0.0,5.0,18.0,903.0
144,0.0,5.0,19.0,824.0
145,0.0,5.0,20.0,890.0
146,0.0,5.0,21.0,1050.0
147,0.0,5.0,22.0,1305.0
148,0.0,5.0,23.0,1537.0
149,0.0,5.0,24.0,1592.0
150,0.0,6.0,0.0,859.0
151,0.0,6.0,1.0,2060.0
152,0.0,6.0,2.0,1911.0
153,0.0,6.0,3.0,1677.0
154,0.0,6.0,4.0,1484.0
155,0.0,6.0,5.0,1254.0
156,0.0,6.0,6.0,1203.0
157,0.0,6.0,7.0,1069.0
158,0.0,6.0,8.0,1016.0
159,0.0,6.0,9.0,971.0
160,0.0,6.0,10.0,888.0
161,0.0,6.0,11.0,710.0
162,0.0,6.0,12.0,741.0
163,0.0,6.0,13.0,805.0
164,0.0,6.0,14.0,829.0
165,0.0,6.0,15.0,779.0
166,0.0,6.0,16.0,746.0
167,0.0,6.0,17.0,916.0
168,0.0,6.0,18.0,899.0
169,0.0,6.0,19.0,1034.0
170,0.0,6.0,20.0,1036.0
171,0.0,6.0,21.0,1349.0
172,0.0,6.0,22.0,1453.0
173,0.0,6.0,23.0,1479.0
174,0.0,6.0,24.0,1834.0
175,0.0,7.0,0.0,903.0
176,0.0,7.0,1.0,1911.0
177,0.0,7.0,2.0,1967.0
178,0.0,7.0,3.0,1875.0
179,0.0,7.0,4.0,1824.0
180,0.0,7.0,5.0,1470.0
181,0.0,7.0,6.0,1390.0
182,0.0,7.0,7.0,1232.0
183,0.0,7.0,8.0,957.0
184,0.0,7.0,9.0,836.0
185,0.0,7.0,10.0,901.0
186,0.0,7.0,11.0,772.0
187,0.0,7.0,12.0,875.0
188,0.0,7.0,13.0,898.0
189,0.0,7.0,14.0,786.0
190,0.0,7.0,15.0,1044.0
191,0.0,7.0,16.0,934.0
192,0.0,7.0,17.0,998.0
193,0.0,7.0,18.0,1240.0
194,0.0,7.0,19.0,1201.0
195,0.0,7.0,20.0,1157.0
196,0.0,7.0,21.0,1549.0
197,0.0,7.0,22.0,2014.0
198,0.0,7.0,23.0,2016.0
199,0.0,7.0,24.0,2104.0
200,0.0,8.0,0.0,679.0
201,0.0,8.0,1.0,1941.0
202,0.0,8.0,2.0,1966.0
203,0.0,8.0,3.0,2078.0
204,0.0,8.0,4.0,1769.0
205,0.0,8.0,5.0,1703.0
206,0.0,8.0,6.0,1324.0
207,0.0,8.0,7.0,1089.0
208,0.0,8.0,8.0,1068.0
209,0.0,8.0,9.0,863.0
210,0.0,8.0,10.0,940.0
211,0.0,8.0,11.0,913.0
212,0.0,8.0,12.0,783.0
213,0.0,8.0,13.0,759.0
214,0.0,8.0,14.0,891.0
215,0.0,8.0,15.0,901.0
216,0.0,8.0,16.0,1004.0
217,0.0,8.0,17.0,1209.0
218,0.0,8.0,18.0,1173.0
219,0.0,8.0,19.0,1496.0
220,0.0,8.0,20.0,1583.0
221,0.0,8.0,21.0,2175.0
222,0.0,8.0,22.0,2221.0
223,0.0,8.0,23.0,2555.0
224,0.0,8.0,24.0,3095.0
225,0.0,9.0,0.0,789.0
226,0.0,9.0,1.0,1821.0
227,0.0,9.0,2.0,2065.0
228,0.0,9.0,3.0,2155.0
229,0.0,9.0,4.0,1978.0
230,0.0,9.0,5.0,1711.0
231,0.0,9.0,6.0,1554.0
232,0.0,9.0,7.0,1255.0
233,0.0,9.0,8.0,1105.0
234,0.0,9.0,9.0,1081.0
235,0.0,9.0,10.0,848.0
236,0.0,9.0,11.0,941.0
237,0.0,9.0,12.0,935.0
238,0.0,9.0,13.0,1003.0
239,0.0,9.0,14.0,938.0
240,0.0,9.0,15.0,1080.0
241,0.0,9.0,16.0,1209.0
242,0.0,9.0,17.0,1425.0
243,0.0,9.0,18.0,1640.0
244,0.0,9.0,19.0,1878.0
245,0.0,9.0,20.0,2186.0
246,0.0,9.0,21.0,2499.0
247,0.0,9.0,22.0,3020.0
248,0.0,9.0,23.0,3326.0
249,0.0,9.0,24.0,3609.0
250,0.0,10.0,0.0,650.0
251,0.0,10.0,1.0,1992.0
252,0.0,10.0,2.0,2379.0
253,0.0,10.0,3.0,2317.0
254,0.0,10.0,4.0,2088.0
255,0.0,10.0,5.0,1924.0
256,0.0,10.0,6.0,1629.0
257,0.0,10.0,7.0,1507.0
258,0.0,10.0,8.0,1315.0
259,0.0,10.0,9.0,1202.0
260,0.0,10.0,10.0,1000.0
261,0.0,10.0,11.0,986.0
262,0.0,10.0,12.0,975.0
263,0.0,10.0,13.0,1074.0
264,0.0,10.0,14.0,1039.0
265,0.0,10.0,15.0,1362.0
266,0.0,10.0,16.0,1445.0
267,0.0,10.0,17.0,1506.0
268,0.0,10.0,18.0,1896.0
269,0.0,10.0,19.0,2746.0
270,0.0,10.0,20.0,2808.0
271,0.0,10.0,21.0,3065.0
272,0.0,10.0,22.0,3848.0
273,0.0,10.0,23.0,3811.0
274,0.0,10.0,24.0,4051.0
275,0.0,11.0,0.0,621.0
276,0.0,11.0,1.0,1994.0
277,0.0,11.0,2.0,2656.0
278,0.0,11.0,3.0,2788.0
279,0.0,11.0,4.0,2221.0
280,0.0,11.0,5.0,2185.0
281,0.0,11.0,6.0,1691.0
282,0.0,11.0,7.0,1450.0
283,0.0,11.0,8.0,1345.0
284,0.0,11.0,9.0,1348.0
285,0.0,11.0,10.0,1142.0
286,0.0,11.0,11.0,1119.0
287,0.0,11.0,12.0,1204.0
288,0.0,11.0,13.0,1342.0
289,0.0,11.0,14.0,1357.0
290,0.0,11.0,15.0,1503.0
291,0.0,11.0,16.0,1785.0
292,0.0,11.0,17.0,2076.0
293,0.0,11.0,18.0,2632.0
294,0.0,11.0,19.0,3036.0
295,0.0,11.0,20.0,3494.0
296,0.0,11.0,21.0,4049.0
297,0.0,11.0,22.0,4328.0
298,0.0,11.0,23.0,4388.0
299,0.0,11.0,24.0,4363.0
300,0.0,12.0,0.0,592.0
301,0.0,12.0,1.0,1944.0
302,0.0,12.0,2.0,2918.0
303,0.0,12.0,3.0,2807.0
304,0.0,12.0,4.0,2456.0
305,0.0,12.0,5.0,2338.0
306,0.0,12.0,6.0,1753.0
307,0.0,12.0,7.0,1555.0
308,0.0,12.0,8.0,1504.0
309,0.0,12.0,9.0,1184.0
310,0.0,12.0,10.0,1260.0
311,0.0,12.0,11.0,1171.0
312,0.0,12.0,12.0,1242.0
313,0.0,12.0,13.0,1310.0
314,0.0,12.0,14.0,1701.0
315,0.0,12.0,15.0,1795.0
316,0.0,12.0,16.0,2125.0
317,0.0,12.0,17.0,2648.0
318,0.0,12.0,18.0,3066.0
319,0.0,12.0,19.0,4091.0
320,0.0,12.0,20.0,4102.0
321,0.0,12.0,21.0,4276.0
322,0.0,12.0,22.0,5999.0
323,0.0,12.0,23.0,5271.0
324,0.0,12.0,24.0,5951.0
325,0.0,13.0,0.0,579.0
326,0.0,13.0,1.0,2088.0
327,0.0,13.0,2.0,3073.0
328,0.0,13.0,3.0,2982.0
329,0.0,13.0,4.0,2973.0
330,0.0,13.0,5.0,2600.0
331,0.0,13.0,6.0,2202.0
332,0.0,13.0,7.0,1748.0
