,w_index,c1_index,c2_index,ITC
0,0.0,0.0,0.0,372.954012192
1,0.0,0.0,1.0,373.189110048
2,0.0,0.0,2.0,367.216772802
3,0.0,0.0,3.0,375.04296409200003
4,0.0,0.0,4.0,375.04646460600003
5,0.0,0.0,5.0,375.577462002
6,0.0,0.0,6.0,373.3098882899999
7,0.0,0.0,7.0,376.41518592
8,0.0,0.0,8.0,376.70805073200006
9,0.0,0.0,9.0,375.951896316
10,0.0,0.0,10.0,377.203813146
11,0.0,0.0,11.0,378.432994602
12,0.0,0.0,12.0,378.520259304
13,0.0,0.0,13.0,374.383678248
14,0.0,0.0,14.0,373.47066243
15,0.0,0.0,15.0,374.60399366999997
16,0.0,0.0,16.0,373.61700466200006
17,0.0,0.0,17.0,376.71706881000006
18,0.0,0.0,18.0,372.89969422200005
19,0.0,0.0,19.0,377.88981625800005
20,0.0,0.0,20.0,377.3543162639999
21,0.0,0.0,21.0,377.52594111599996
22,0.0,0.0,22.0,378.12425509800005
23,0.0,0.0,23.0,380.26809991199997
24,0.0,0.0,24.0,376.7144327460001
25,0.0,1.0,0.0,371.34200549400003
26,0.0,1.0,1.0,369.63920849400006
27,0.0,1.0,2.0,370.82697093
28,0.0,1.0,3.0,374.61906561
29,0.0,1.0,4.0,374.13943485
30,0.0,1.0,5.0,371.449109832
31,0.0,1.0,6.0,375.187923204
32,0.0,1.0,7.0,379.7047944600001
33,0.0,1.0,8.0,376.201971192
34,0.0,1.0,9.0,371.95291400400004
35,0.0,1.0,10.0,374.76196360200004
36,0.0,1.0,11.0,373.5997034580001
37,0.0,1.0,12.0,376.0406316
38,0.0,1.0,13.0,373.13381033400003
39,0.0,1.0,14.0,377.06483331600015
40,0.0,1.0,15.0,374.853184434
41,0.0,1.0,16.0,372.1955973240001
42,0.0,1.0,17.0,375.99609106799994
43,0.0,1.0,18.0,374.23771094999995
44,0.0,1.0,19.0,373.9878869340001
45,0.0,1.0,20.0,380.224621806
46,0.0,1.0,21.0,376.66138060200007
47,0.0,1.0,22.0,380.57319584400005
48,0.0,1.0,23.0,380.4121742339999
49,0.0,1.0,24.0,378.99832659599997
50,0.0,2.0,0.0,367.96812087599994
51,0.0,2.0,1.0,373.88107006800004
52,0.0,2.0,2.0,373.16524716
53,0.0,2.0,3.0,374.75414015999996
54,0.0,2.0,4.0,373.96022792400004
55,0.0,2.0,5.0,374.9670762300001
56,0.0,2.0,6.0,374.0831933939999
57,0.0,2.0,7.0,373.9958093640001
58,0.0,2.0,8.0,373.91110140000006
59,0.0,2.0,9.0,371.84570796599996
60,0.0,2.0,10.0,373.27021173
61,0.0,2.0,11.0,375.920423556
62,0.0,2.0,12.0,374.0010136920001
63,0.0,2.0,13.0,373.450940088
64,0.0,2.0,14.0,377.249117784
65,0.0,2.0,15.0,372.7381715700001
66,0.0,2.0,16.0,374.8855582559999
67,0.0,2.0,17.0,371.72044678800006
68,0.0,2.0,18.0,379.281801786
69,0.0,2.0,19.0,372.4112976000001
70,0.0,2.0,20.0,375.68994627000006
71,0.0,2.0,21.0,379.0368919140001
72,0.0,2.0,22.0,379.0789191
73,0.0,2.0,23.0,377.7751793400001
74,0.0,2.0,24.0,374.910451704
75,0.0,3.0,0.0,370.559508066
76,0.0,3.0,1.0,370.386855366
77,0.0,3.0,2.0,370.232676132
78,0.0,3.0,3.0,373.41494100000006
79,0.0,3.0,4.0,374.677157328
80,0.0,3.0,5.0,373.800802326
81,0.0,3.0,6.0,376.21116826200006
82,0.0,3.0,7.0,373.277708376
83,0.0,3.0,8.0,376.07519807400007
84,0.0,3.0,9.0,373.94371726799994
85,0.0,3.0,10.0,375.5826988740001
86,0.0,3.0,11.0,376.73251704
87,0.0,3.0,12.0,376.428905928
88,0.0,3.0,13.0,375.022124406
89,0.0,3.0,14.0,375.353603352
90,0.0,3.0,15.0,376.40019262800007
91,0.0,3.0,16.0,372.7092677520001
92,0.0,3.0,17.0,378.549677046
93,0.0,3.0,18.0,375.596831784
94,0.0,3.0,19.0,378.11478615
95,0.0,3.0,20.0,372.054579426
96,0.0,3.0,21.0,376.34995893000007
97,0.0,3.0,22.0,377.2229530860001
98,0.0,3.0,23.0,378.987524022
99,0.0,3.0,24.0,379.83201912600003
100,0.0,4.0,0.0,367.789377024
101,0.0,4.0,1.0,374.24594322600007
102,0.0,4.0,2.0,367.59769896599994
103,0.0,4.0,3.0,370.3997407560001
104,0.0,4.0,4.0,374.06461076999994
105,0.0,4.0,5.0,376.06315815
106,0.0,4.0,6.0,378.10116648599995
107,0.0,4.0,7.0,373.92169243800004
108,0.0,4.0,8.0,379.814804706
109,0.0,4.0,9.0,377.484160044
110,0.0,4.0,10.0,375.856764102
111,0.0,4.0,11.0,374.77940379600005
112,0.0,4.0,12.0,370.3767172320001
113,0.0,4.0,13.0,378.76785270000005
114,0.0,4.0,14.0,373.225882734
115,0.0,4.0,15.0,374.930140824
116,0.0,4.0,16.0,375.2686736819999
117,0.0,4.0,17.0,376.116716082
118,0.0,4.0,18.0,379.02054940200003
119,0.0,4.0,19.0,377.108097174
120,0.0,4.0,20.0,376.11865109400003
121,0.0,4.0,21.0,379.629051012
122,0.0,4.0,22.0,378.921008154
123,0.0,4.0,23.0,376.44004072200005
124,0.0,4.0,24.0,376.77350078399996
125,0.0,5.0,0.0,368.5829211060001
126,0.0,5.0,1.0,371.985983454
127,0.0,5.0,2.0,370.841135706
128,0.0,5.0,3.0,371.68041699
129,0.0,5.0,4.0,371.489048778
130,0.0,5.0,5.0,375.739748082
131,0.0,5.0,6.0,375.23552355
132,0.0,5.0,7.0,374.65579897199996
133,0.0,5.0,8.0,374.436529704
134,0.0,5.0,9.0,377.47849738800005
135,0.0,5.0,10.0,379.2782172000001
136,0.0,5.0,11.0,376.8445314540001
137,0.0,5.0,12.0,376.438064352
138,0.0,5.0,13.0,374.19473320800006
139,0.0,5.0,14.0,378.420949932
140,0.0,5.0,15.0,376.1070220380001
141,0.0,5.0,16.0,374.36193072000003
142,0.0,5.0,17.0,379.81857099600006
143,0.0,5.0,18.0,380.041859448
