,w_index,c1_index,c2_index,ITC
0,0.0,0.0,0.0,1543.0
1,0.0,0.0,1.0,1468.0
2,0.0,0.0,2.0,1315.0
3,0.0,0.0,3.0,1058.0
4,0.0,0.0,4.0,1145.0
5,0.0,0.0,5.0,1101.0
6,0.0,0.0,6.0,998.0
7,0.0,0.0,7.0,942.0
8,0.0,0.0,8.0,1011.0
9,0.0,0.0,9.0,1010.0
10,0.0,0.0,10.0,951.0
11,0.0,0.0,11.0,849.0
12,0.0,0.0,12.0,881.0
13,0.0,0.0,13.0,906.0
14,0.0,0.0,14.0,886.0
15,0.0,0.0,15.0,909.0
16,0.0,0.0,16.0,887.0
17,0.0,0.0,17.0,932.0
18,0.0,0.0,18.0,913.0
19,0.0,0.0,19.0,944.0
20,0.0,0.0,20.0,982.0
21,0.0,0.0,21.0,998.0
22,0.0,0.0,22.0,1084.0
23,0.0,0.0,23.0,1059.0
24,0.0,0.0,24.0,1129.0
25,0.0,1.0,0.0,1861.0
26,0.0,1.0,1.0,1892.0
27,0.0,1.0,2.0,1719.0
28,0.0,1.0,3.0,1410.0
29,0.0,1.0,4.0,1254.0
30,0.0,1.0,5.0,1289.0
31,0.0,1.0,6.0,1042.0
32,0.0,1.0,7.0,1028.0
33,0.0,1.0,8.0,988.0
34,0.0,1.0,9.0,972.0
35,0.0,1.0,10.0,866.0
36,0.0,1.0,11.0,893.0
37,0.0,1.0,12.0,878.0
38,0.0,1.0,13.0,877.0
39,0.0,1.0,14.0,898.0
40,0.0,1.0,15.0,948.0
41,0.0,1.0,16.0,991.0
42,0.0,1.0,17.0,979.0
43,0.0,1.0,18.0,968.0
44,0.0,1.0,19.0,969.0
45,0.0,1.0,20.0,953.0
46,0.0,1.0,21.0,930.0
47,0.0,1.0,22.0,1021.0
48,0.0,1.0,23.0,1038.0
49,0.0,1.0,24.0,1065.0
50,0.0,2.0,0.0,1740.0
51,0.0,2.0,1.0,2073.0
52,0.0,2.0,2.0,1943.0
53,0.0,2.0,3.0,1780.0
54,0.0,2.0,4.0,1515.0
55,0.0,2.0,5.0,1401.0
56,0.0,2.0,6.0,1161.0
57,0.0,2.0,7.0,1013.0
58,0.0,2.0,8.0,1090.0
59,0.0,2.0,9.0,969.0
60,0.0,2.0,10.0,1025.0
61,0.0,2.0,11.0,987.0
62,0.0,2.0,12.0,938.0
63,0.0,2.0,13.0,877.0
64,0.0,2.0,14.0,881.0
65,0.0,2.0,15.0,940.0
66,0.0,2.0,16.0,927.0
67,0.0,2.0,17.0,997.0
68,0.0,2.0,18.0,998.0
69,0.0,2.0,19.0,973.0
70,0.0,2.0,20.0,1094.0
71,0.0,2.0,21.0,974.0
72,0.0,2.0,22.0,1090.0
73,0.0,2.0,23.0,1120.0
74,0.0,2.0,24.0,1138.0
75,0.0,3.0,0.0,1841.0
76,0.0,3.0,1.0,2632.0
77,0.0,3.0,2.0,2242.0
78,0.0,3.0,3.0,1891.0
79,0.0,3.0,4.0,1621.0
80,0.0,3.0,5.0,1577.0
81,0.0,3.0,6.0,1289.0
82,0.0,3.0,7.0,1233.0
83,0.0,3.0,8.0,1133.0
84,0.0,3.0,9.0,1050.0
85,0.0,3.0,10.0,930.0
86,0.0,3.0,11.0,993.0
87,0.0,3.0,12.0,961.0
88,0.0,3.0,13.0,999.0
89,0.0,3.0,14.0,941.0
90,0.0,3.0,15.0,982.0
91,0.0,3.0,16.0,974.0
92,0.0,3.0,17.0,1013.0
93,0.0,3.0,18.0,961.0
94,0.0,3.0,19.0,1066.0
95,0.0,3.0,20.0,1057.0
96,0.0,3.0,21.0,1166.0
97,0.0,3.0,22.0,1171.0
98,0.0,3.0,23.0,1241.0
99,0.0,3.0,24.0,1328.0
100,0.0,4.0,0.0,1508.0
101,0.0,4.0,1.0,2616.0
102,0.0,4.0,2.0,2405.0
103,0.0,4.0,3.0,2286.0
104,0.0,4.0,4.0,1752.0
105,0.0,4.0,5.0,1769.0
106,0.0,4.0,6.0,1430.0
107,0.0,4.0,7.0,1278.0
108,0.0,4.0,8.0,1150.0
109,0.0,4.0,9.0,1194.0
110,0.0,4.0,10.0,1153.0
111,0.0,4.0,11.0,1067.0
112,0.0,4.0,12.0,1109.0
113,0.0,4.0,13.0,930.0
114,0.0,4.0,14.0,1008.0
115,0.0,4.0,15.0,976.0
116,0.0,4.0,16.0,996.0
117,0.0,4.0,17.0,891.0
118,0.0,4.0,18.0,1097.0
119,0.0,4.0,19.0,1050.0
120,0.0,4.0,20.0,1162.0
121,0.0,4.0,21.0,1218.0
122,0.0,4.0,22.0,1360.0
123,0.0,4.0,23.0,1350.0
124,0.0,4.0,24.0,1606.0
125,0.0,5.0,0.0,1497.0
126,0.0,5.0,1.0,2856.0
127,0.0,5.0,2.0,2848.0
128,0.0,5.0,3.0,2498.0
129,0.0,5.0,4.0,2018.0
130,0.0,5.0,5.0,1864.0
131,0.0,5.0,6.0,1723.0
132,0.0,5.0,7.0,1418.0
133,0.0,5.0,8.0,1258.0
134,0.0,5.0,9.0,1263.0
135,0.0,5.0,10.0,1083.0
136,0.0,5.0,11.0,1128.0
137,0.0,5.0,12.0,1058.0
138,0.0,5.0,13.0,1108.0
139,0.0,5.0,14.0,1060.0
140,0.0,5.0,15.0,1086.0
141,0.0,5.0,16.0,1021.0
142,0.0,5.0,17.0,1090.0
143,0.0,5.0,18.0,1166.0
144,0.0,5.0,19.0,1212.0
145,0.0,5.0,20.0,1321.0
146,0.0,5.0,21.0,1369.0
147,0.0,5.0,22.0,1491.0
148,0.0,5.0,23.0,1549.0
149,0.0,5.0,24.0,1902.0
150,0.0,6.0,0.0,1317.0
151,0.0,6.0,1.0,2955.0
152,0.0,6.0,2.0,2911.0
153,0.0,6.0,3.0,2517.0
154,0.0,6.0,4.0,2287.0
155,0.0,6.0,5.0,2006.0
156,0.0,6.0,6.0,1777.0
157,0.0,6.0,7.0,1673.0
158,0.0,6.0,8.0,1355.0
159,0.0,6.0,9.0,1396.0
160,0.0,6.0,10.0,1292.0
161,0.0,6.0,11.0,1170.0
162,0.0,6.0,12.0,1069.0
163,0.0,6.0,13.0,1167.0
164,0.0,6.0,14.0,1137.0
165,0.0,6.0,15.0,1221.0
166,0.0,6.0,16.0,1181.0
167,0.0,6.0,17.0,1256.0
168,0.0,6.0,18.0,1257.0
169,0.0,6.0,19.0,1272.0
170,0.0,6.0,20.0,1488.0
171,0.0,6.0,21.0,1578.0
172,0.0,6.0,22.0,1703.0
173,0.0,6.0,23.0,2082.0
