,w_index,c1_index,c2_index,ITC
0,0.0,0.0,0.0,433.01656839000003
1,0.0,0.0,1.0,435.82046112000006
2,0.0,0.0,2.0,434.65020667799996
3,0.0,0.0,3.0,432.626380068
4,0.0,0.0,4.0,433.674187032
5,0.0,0.0,5.0,428.949386736
6,0.0,0.0,6.0,424.51547556
7,0.0,0.0,7.0,425.416726722
8,0.0,0.0,8.0,428.18393693999997
9,0.0,0.0,9.0,430.97003962799994
10,0.0,0.0,10.0,431.065771872
11,0.0,0.0,11.0,429.24732909
12,0.0,0.0,12.0,428.9086999559999
13,0.0,0.0,13.0,433.59668824199997
14,0.0,0.0,14.0,422.84114778000003
15,0.0,0.0,15.0,423.25254733199995
16,0.0,0.0,16.0,425.79643655399997
17,0.0,0.0,17.0,431.08703463
18,0.0,0.0,18.0,434.53584774
19,0.0,0.0,19.0,425.741410074
20,0.0,0.0,20.0,433.76748728999996
21,0.0,0.0,21.0,431.578498524
22,0.0,0.0,22.0,437.79682773
23,0.0,0.0,23.0,428.326950192
24,0.0,0.0,24.0,431.946120972
25,0.0,1.0,0.0,439.29773328000005
26,0.0,1.0,1.0,445.8293073
27,0.0,1.0,2.0,433.09981661999996
28,0.0,1.0,3.0,436.26839741400005
29,0.0,1.0,4.0,439.594756266
30,0.0,1.0,5.0,438.34776239400003
31,0.0,1.0,6.0,425.84005364999996
32,0.0,1.0,7.0,426.67474080600005
33,0.0,1.0,8.0,429.84075808200004
34,0.0,1.0,9.0,434.31846060000004
35,0.0,1.0,10.0,426.47646174
36,0.0,1.0,11.0,425.45922918599996
37,0.0,1.0,12.0,420.00540600000005
38,0.0,1.0,13.0,430.23335805000005
39,0.0,1.0,14.0,422.91612847799996
40,0.0,1.0,15.0,424.64021061
41,0.0,1.0,16.0,426.82196443800007
42,0.0,1.0,17.0,426.91427210399996
43,0.0,1.0,18.0,428.4595269899999
44,0.0,1.0,19.0,423.824385414
45,0.0,1.0,20.0,434.10833551799993
46,0.0,1.0,21.0,427.41528833999996
47,0.0,1.0,22.0,429.686567322
48,0.0,1.0,23.0,432.266695644
49,0.0,1.0,24.0,433.20612769800005
50,0.0,2.0,0.0,437.850821616
51,0.0,2.0,1.0,438.62289615000003
52,0.0,2.0,2.0,448.927766622
53,0.0,2.0,3.0,437.15116426199995
54,0.0,2.0,4.0,439.621485738
55,0.0,2.0,5.0,437.28316679400007
56,0.0,2.0,6.0,433.82195916599994
57,0.0,2.0,7.0,427.9365327059999
58,0.0,2.0,8.0,433.26271764599994
59,0.0,2.0,9.0,429.49258338600004
60,0.0,2.0,10.0,426.945425526
61,0.0,2.0,11.0,430.26438739799994
62,0.0,2.0,12.0,425.86871677799996
63,0.0,2.0,13.0,426.84776844
64,0.0,2.0,14.0,424.26412197599996
65,0.0,2.0,15.0,430.97097526799996
66,0.0,2.0,16.0,430.24872831
67,0.0,2.0,17.0,429.18156919200004
68,0.0,2.0,18.0,430.443807216
69,0.0,2.0,19.0,434.08755820799996
70,0.0,2.0,20.0,433.45048906799997
71,0.0,2.0,21.0,429.77964384000006
72,0.0,2.0,22.0,431.51765209200005
73,0.0,2.0,23.0,435.14696642999996
74,0.0,2.0,24.0,430.322713026
75,0.0,3.0,0.0,435.6161464979999
76,0.0,3.0,1.0,449.982954972
77,0.0,3.0,2.0,442.78254547800003
78,0.0,3.0,3.0,442.790362818
79,0.0,3.0,4.0,429.1506117119999
80,0.0,3.0,5.0,436.395089172
81,0.0,3.0,6.0,438.94280028000003
82,0.0,3.0,7.0,432.29604016199994
83,0.0,3.0,8.0,436.54763374799995
84,0.0,3.0,9.0,431.93873009400005
85,0.0,3.0,10.0,419.142617778
86,0.0,3.0,11.0,423.623365872
87,0.0,3.0,12.0,431.59906429800003
88,0.0,3.0,13.0,427.7602262639999
89,0.0,3.0,14.0,424.15338152400005
90,0.0,3.0,15.0,424.949547432
91,0.0,3.0,16.0,428.6998284959999
92,0.0,3.0,17.0,428.006800626
93,0.0,3.0,18.0,430.930465446
94,0.0,3.0,19.0,428.834790498
95,0.0,3.0,20.0,426.024687966
96,0.0,3.0,21.0,434.80879494600003
97,0.0,3.0,22.0,428.74456903799995
98,0.0,3.0,23.0,433.69642543199996
99,0.0,3.0,24.0,433.251241818
100,0.0,4.0,0.0,432.282686952
101,0.0,4.0,1.0,448.63172605799997
102,0.0,4.0,2.0,443.960000958
103,0.0,4.0,3.0,442.55609008799996
104,0.0,4.0,4.0,436.41008721000003
105,0.0,4.0,5.0,438.72569247600006
106,0.0,4.0,6.0,436.037914026
107,0.0,4.0,7.0,439.0133190599999
108,0.0,4.0,8.0,429.99575362800005
109,0.0,4.0,9.0,428.369361804
110,0.0,4.0,10.0,426.7987781939999
111,0.0,4.0,11.0,429.26032160399996
112,0.0,4.0,12.0,428.593641492
113,0.0,4.0,13.0,432.11060377199993
114,0.0,4.0,14.0,433.43201085600003
115,0.0,4.0,15.0,425.85114776399996
116,0.0,4.0,16.0,431.224295052
117,0.0,4.0,17.0,422.969594202
118,0.0,4.0,18.0,434.39577158399993
119,0.0,4.0,19.0,428.12762565
120,0.0,4.0,20.0,435.20764065000003
121,0.0,4.0,21.0,434.1001208700001
122,0.0,4.0,22.0,440.58824797200003
123,0.0,4.0,23.0,435.76408813200004
124,0.0,4.0,24.0,435.79126508400003
125,0.0,5.0,0.0,437.04875982000004
126,0.0,5.0,1.0,444.96654348600003
127,0.0,5.0,2.0,447.3201682800001
128,0.0,5.0,3.0,452.058173982
129,0.0,5.0,4.0,440.451667584
130,0.0,5.0,5.0,439.974374568
131,0.0,5.0,6.0,435.722670468
132,0.0,5.0,7.0,433.33535381999997
133,0.0,5.0,8.0,436.10755750799996
134,0.0,5.0,9.0,434.03159812200016
135,0.0,5.0,10.0,437.43376008600006
136,0.0,5.0,11.0,430.046425992
137,0.0,5.0,12.0,427.487142102
138,0.0,5.0,13.0,429.0754913459999
139,0.0,5.0,14.0,430.64631632400005
140,0.0,5.0,15.0,427.995245472
141,0.0,5.0,16.0,432.02153559
142,0.0,5.0,17.0,428.8975116
143,0.0,5.0,18.0,433.104616182
144,0.0,5.0,19.0,430.56785002799995
145,0.0,5.0,20.0,433.17131782200005
146,0.0,5.0,21.0,434.019830754
147,0.0,5.0,22.0,432.11385817200005
148,0.0,5.0,23.0,437.795408676
149,0.0,5.0,24.0,444.265383684
150,0.0,6.0,0.0,430.51508942400005
151,0.0,6.0,1.0,446.669561514
152,0.0,6.0,2.0,452.563042614
153,0.0,6.0,3.0,444.996076488
154,0.0,6.0,4.0,449.24406379199996
155,0.0,6.0,5.0,440.286531192
156,0.0,6.0,6.0,441.42349922399995
157,0.0,6.0,7.0,440.180175366
158,0.0,6.0,8.0,438.636561918
159,0.0,6.0,9.0,435.40712181000004
160,0.0,6.0,10.0,437.77342791600006
161,0.0,6.0,11.0,424.74606675
162,0.0,6.0,12.0,431.769378576
163,0.0,6.0,13.0,435.40783438799997
164,0.0,6.0,14.0,432.39356639399995
165,0.0,6.0,15.0,436.421662704
166,0.0,6.0,16.0,438.07361580599996
167,0.0,6.0,17.0,429.03390486000006
168,0.0,6.0,18.0,432.512693028
169,0.0,6.0,19.0,436.73734018200014
170,0.0,6.0,20.0,443.45215658399997
171,0.0,6.0,21.0,441.539513838
172,0.0,6.0,22.0,434.53661320200007
173,0.0,6.0,23.0,447.342073104
174,0.0,6.0,24.0,445.5818108579999
175,0.0,7.0,0.0,435.15258637200003
176,0.0,7.0,1.0,451.87261690800005
177,0.0,7.0,2.0,450.54893852400005
178,0.0,7.0,3.0,445.43018022599995
