,w_index,c1_index,c2_index,ITC
0,0.0,0.0,0.0,225.33776191799998
1,0.0,0.0,1.0,223.51142586000003
2,0.0,0.0,2.0,225.939236736
3,0.0,0.0,3.0,223.152111624
4,0.0,0.0,4.0,220.71170350800003
5,0.0,0.0,5.0,220.46736654600002
6,0.0,0.0,6.0,221.39629163400002
7,0.0,0.0,7.0,221.693769558
8,0.0,0.0,8.0,218.76949657199998
9,0.0,0.0,9.0,221.635951752
10,0.0,0.0,10.0,220.4501745
11,0.0,0.0,11.0,218.375947404
12,0.0,0.0,12.0,222.94445107199996
13,0.0,0.0,13.0,224.01933125399998
14,0.0,0.0,14.0,218.11646663399998
15,0.0,0.0,15.0,219.38479038600002
16,0.0,0.0,16.0,221.98011133199998
17,0.0,0.0,17.0,219.61421067000003
18,0.0,0.0,18.0,223.86808843799997
19,0.0,0.0,19.0,223.22056386
20,0.0,0.0,20.0,219.92782092599998
21,0.0,0.0,21.0,221.43302906399995
22,0.0,0.0,22.0,221.121556542
23,0.0,0.0,23.0,219.52845994200004
24,0.0,0.0,24.0,218.05173797400002
25,0.0,1.0,0.0,224.73282523199995
26,0.0,1.0,1.0,223.87193879999998
27,0.0,1.0,2.0,224.160210162
28,0.0,1.0,3.0,221.95452971400002
29,0.0,1.0,4.0,220.76156769600001
30,0.0,1.0,5.0,222.54148516199996
31,0.0,1.0,6.0,223.09695903600002
32,0.0,1.0,7.0,221.737566324
33,0.0,1.0,8.0,220.83385063200004
34,0.0,1.0,9.0,219.519981552
35,0.0,1.0,10.0,218.34702528000003
36,0.0,1.0,11.0,221.70839333999996
37,0.0,1.0,12.0,220.34771446200003
38,0.0,1.0,13.0,220.531458564
39,0.0,1.0,14.0,222.43556868000005
40,0.0,1.0,15.0,220.20868852799998
41,0.0,1.0,16.0,220.18544329800002
42,0.0,1.0,17.0,219.84253734
43,0.0,1.0,18.0,220.65044349600004
44,0.0,1.0,19.0,218.263005486
45,0.0,1.0,20.0,218.43347570400002
46,0.0,1.0,21.0,219.95122955399998
47,0.0,1.0,22.0,221.07404637000002
48,0.0,1.0,23.0,220.003995582
49,0.0,1.0,24.0,219.96188093399996
50,0.0,2.0,0.0,225.41404708800005
51,0.0,2.0,1.0,225.070404144
52,0.0,2.0,2.0,223.53162347999998
53,0.0,2.0,3.0,223.38777560999998
54,0.0,2.0,4.0,224.25030686999997
55,0.0,2.0,5.0,222.387760188
56,0.0,2.0,6.0,222.24876476400004
57,0.0,2.0,7.0,220.53181315799998
58,0.0,2.0,8.0,219.913976844
59,0.0,2.0,9.0,218.88168591000002
60,0.0,2.0,10.0,221.60437119
61,0.0,2.0,11.0,222.38709371399997
62,0.0,2.0,12.0,221.574499188
63,0.0,2.0,13.0,224.27110994400002
64,0.0,2.0,14.0,221.583968814
65,0.0,2.0,15.0,219.974802258
66,0.0,2.0,16.0,221.49687971400002
67,0.0,2.0,17.0,221.32635118799996
68,0.0,2.0,18.0,221.78596942200002
69,0.0,2.0,19.0,221.187427632
70,0.0,2.0,20.0,222.04938801600002
71,0.0,2.0,21.0,218.94753666000005
72,0.0,2.0,22.0,220.67787808799997
73,0.0,2.0,23.0,219.35777140800002
74,0.0,2.0,24.0,217.802525514
75,0.0,3.0,0.0,224.98901499
76,0.0,3.0,1.0,225.026876544
77,0.0,3.0,2.0,224.81953872000003
78,0.0,3.0,3.0,224.888513016
79,0.0,3.0,4.0,223.75658184600005
80,0.0,3.0,5.0,223.99358352599995
81,0.0,3.0,6.0,218.229201084
82,0.0,3.0,7.0,222.17670624600004
83,0.0,3.0,8.0,219.27980818799998
84,0.0,3.0,9.0,220.01683079999998
85,0.0,3.0,10.0,221.09463384
86,0.0,3.0,11.0,221.31174910200002
87,0.0,3.0,12.0,219.23556394199997
88,0.0,3.0,13.0,218.673768396
89,0.0,3.0,14.0,222.55950165600004
90,0.0,3.0,15.0,220.23992127600002
91,0.0,3.0,16.0,220.20492156000003
92,0.0,3.0,17.0,220.33797228
93,0.0,3.0,18.0,221.067700968
94,0.0,3.0,19.0,216.95561198400003
95,0.0,3.0,20.0,220.539298278
96,0.0,3.0,21.0,219.99636130199997
97,0.0,3.0,22.0,219.96195754800002
98,0.0,3.0,23.0,222.910479204
99,0.0,3.0,24.0,217.951671276
100,0.0,4.0,0.0,224.65289445600004
101,0.0,4.0,1.0,228.07254271799997
102,0.0,4.0,2.0,223.825365624
103,0.0,4.0,3.0,222.633845712
104,0.0,4.0,4.0,222.369227058
105,0.0,4.0,5.0,220.87775655599995
106,0.0,4.0,6.0,220.975832646
107,0.0,4.0,7.0,219.779768778
108,0.0,4.0,8.0,222.802358544
109,0.0,4.0,9.0,222.402272778
110,0.0,4.0,10.0,219.678855258
111,0.0,4.0,11.0,222.816688074
112,0.0,4.0,12.0,220.624609662
113,0.0,4.0,13.0,223.082752224
114,0.0,4.0,14.0,222.709840698
115,0.0,4.0,15.0,220.51333969199996
116,0.0,4.0,16.0,217.507429404
117,0.0,4.0,17.0,220.910860584
118,0.0,4.0,18.0,220.05894273600006
119,0.0,4.0,19.0,219.29354311199998
120,0.0,4.0,20.0,220.16924587799997
121,0.0,4.0,21.0,218.995170906
122,0.0,4.0,22.0,217.65483067200003
123,0.0,4.0,23.0,221.699912916
124,0.0,4.0,24.0,217.206629958
125,0.0,5.0,0.0,226.43327635200004
126,0.0,5.0,1.0,225.939829986
127,0.0,5.0,2.0,225.04584562800002
128,0.0,5.0,3.0,224.445798
129,0.0,5.0,4.0,222.89314410000003
130,0.0,5.0,5.0,223.160776464
131,0.0,5.0,6.0,222.21468373800002
132,0.0,5.0,7.0,219.460993518
133,0.0,5.0,8.0,220.75664067000005
134,0.0,5.0,9.0,220.23898767
135,0.0,5.0,10.0,221.19640367400004
136,0.0,5.0,11.0,219.124191594
137,0.0,5.0,12.0,219.16463768399998
138,0.0,5.0,13.0,219.05557867200002
139,0.0,5.0,14.0,223.062377646
140,0.0,5.0,15.0,220.084067382
141,0.0,5.0,16.0,217.92291187200001
142,0.0,5.0,17.0,219.00622773000003
143,0.0,5.0,18.0,219.56023983600005
144,0.0,5.0,19.0,220.47292072200003
