,L,max_stay_counter,m,n,quench,struc_count,ITC
0,6,6,0.01,0.1,0.1,81.8,229.6965819
1,6,6,0.01,0.1,0.2,76.6,232.0187854
2,6,6,0.01,0.1,0.3,81.86,232.0407377
3,6,6,0.01,0.1,0.4,75.48,230.0934349
4,6,6,0.01,0.1,0.5,80.88,231.5257269
5,6,6,0.01,0.1,0.65,71.2,230.4027053
6,6,6,0.01,0.1,0.8,75.04,231.796693
7,6,6,0.01,0.1,1,78.42,231.1251353
8,6,6,0.01,0.1,2,78.44,229.9693447
9,6,6,0.01,0.2,0.1,76.08,232.5210953
10,6,6,0.01,0.2,0.2,84.52,226.7256998
11,6,6,0.01,0.2,0.3,77.24,232.3660286
12,6,6,0.01,0.2,0.4,77.3,231.1874456
13,6,6,0.01,0.2,0.5,79.14,234.1112657
14,6,6,0.01,0.2,0.65,82.3,230.4028308
15,6,6,0.01,0.2,0.8,76.54,231.9337168
16,6,6,0.01,0.2,1,81.14,229.3673261
17,6,6,0.01,0.2,2,79.98,233.2082239
18,6,6,0.01,0.3,0.1,77.98,230.0020839
19,6,6,0.01,0.3,0.2,80.1,233.9177319
20,6,6,0.01,0.3,0.3,76.76,231.2363362
21,6,6,0.01,0.3,0.4,72.92,230.4810191
22,6,6,0.01,0.3,0.5,80.42,231.9614802
23,6,6,0.01,0.3,0.65,77.06,231.7893624
24,6,6,0.01,0.3,0.8,78.56,228.8667404
25,6,6,0.01,0.3,1,80.08,230.1523355
26,6,6,0.01,0.3,2,78.32,231.7373483
27,6,6,0.01,0.4,0.1,94.7,228.3197273
28,6,6,0.01,0.4,0.2,78.96,233.2179091
29,6,6,0.01,0.4,0.3,79.96,234.4675872
30,6,6,0.01,0.4,0.4,76.86,229.0913204
31,6,6,0.01,0.4,0.5,78.48,230.0158534
32,6,6,0.01,0.4,0.65,84.94,231.9112248
33,6,6,0.01,0.4,0.8,77.72,232.2197257
34,6,6,0.01,0.4,1,85.58,230.1793599
35,6,6,0.01,0.4,2,78.12,231.6966385
36,6,6,0.01,0.5,0.1,71.56,228.0346418
37,6,6,0.01,0.5,0.2,78.36,231.3766638
38,6,6,0.01,0.5,0.3,81.38,230.2746888
39,6,6,0.01,0.5,0.4,81.52,231.8998263
40,6,6,0.01,0.5,0.5,86.1,234.4386339
41,6,6,0.01,0.5,0.65,82.3,233.7302941
42,6,6,0.01,0.5,0.8,79.76,230.4081775
