,L,max_stay_counter,m,n,quench,ITC
0,6,6,0.01,0.1,0.1,409.77676713600005
1,6,6,0.01,0.1,0.2,410.88517034999995
2,6,6,0.01,0.1,0.3,412.19410358999994
3,6,6,0.01,0.1,0.4,410.38373443200004
4,6,6,0.01,0.1,0.5,405.8977209900001
5,6,6,0.01,0.1,0.65,407.892795654
6,6,6,0.01,0.1,0.8,415.308463368
7,6,6,0.01,0.1,1.0,413.86232530200004
8,6,6,0.01,0.1,2.0,411.175782846
9,6,6,0.01,0.2,0.1,401.9449423439999
10,6,6,0.01,0.2,0.2,418.06496322000004
11,6,6,0.01,0.2,0.3,413.0628216
12,6,6,0.01,0.2,0.4,413.53876742999995
13,6,6,0.01,0.2,0.5,404.281885626
14,6,6,0.01,0.2,0.65,412.300493316
15,6,6,0.01,0.2,0.8,410.781047856
16,6,6,0.01,0.2,1.0,407.29158525599996
17,6,6,0.01,0.2,2.0,406.28022418200004
18,6,6,0.01,0.3,0.1,400.37059786799995
19,6,6,0.01,0.3,0.2,408.83549295599994
20,6,6,0.01,0.3,0.3,410.61162853799993
21,6,6,0.01,0.3,0.4,412.316651412
22,6,6,0.01,0.3,0.5,410.586398124
23,6,6,0.01,0.3,0.65,410.37539299800005
24,6,6,0.01,0.3,0.8,408.80646235200004
25,6,6,0.01,0.3,1.0,411.97246810199994
26,6,6,0.01,0.3,2.0,406.037370684
27,6,6,0.01,0.4,0.1,408.057315744
28,6,6,0.01,0.4,0.2,411.39265267199994
29,6,6,0.01,0.4,0.3,406.95709124399997
30,6,6,0.01,0.4,0.4,408.180820902
31,6,6,0.01,0.4,0.5,411.6890722380001
32,6,6,0.01,0.4,0.65,407.873129586
33,6,6,0.01,0.4,0.8,409.58565656400003
34,6,6,0.01,0.4,1.0,409.68120168
35,6,6,0.01,0.4,2.0,404.85650622
36,6,6,0.01,0.5,0.1,406.09246631999997
37,6,6,0.01,0.5,0.2,406.60230333600003
38,6,6,0.01,0.5,0.3,408.796912722
39,6,6,0.01,0.5,0.4,404.944871316
40,6,6,0.01,0.5,0.5,407.90316702
41,6,6,0.01,0.5,0.65,403.38855892800007
42,6,6,0.01,0.5,0.8,405.185076546
43,6,6,0.01,0.5,1.0,406.827661044
44,6,6,0.01,0.5,2.0,406.40988490200004
45,6,6,0.01,0.6,0.1,411.119796996
46,6,6,0.01,0.6,0.2,413.356963086
47,6,6,0.01,0.6,0.3,405.3914116079999
48,6,6,0.01,0.6,0.4,413.76131008199997
49,6,6,0.01,0.6,0.5,410.4588208979999
50,6,6,0.01,0.6,0.65,402.98589066
51,6,6,0.01,0.6,0.8,412.766056254
52,6,6,0.01,0.6,1.0,409.089200556
53,6,6,0.01,0.6,2.0,406.21094071799996
54,6,6,0.01,0.7,0.1,406.69697790000004
55,6,6,0.01,0.7,0.2,405.849392472
56,6,6,0.01,0.7,0.3,408.309647682
57,6,6,0.01,0.7,0.4,408.42578636999997
58,6,6,0.01,0.7,0.5,405.32485845
59,6,6,0.01,0.7,0.65,408.610786806
60,6,6,0.01,0.7,0.8,414.50237764199994
61,6,6,0.01,0.7,1.0,409.45827528
62,6,6,0.01,0.7,2.0,410.02900957800006
63,6,6,0.01,0.8,0.1,412.22583873599996
64,6,6,0.01,0.8,0.2,407.46997248
65,6,6,0.01,0.8,0.3,405.045578724
66,6,6,0.01,0.8,0.4,410.642442282
67,6,6,0.01,0.8,0.5,415.68125556599995
68,6,6,0.01,0.8,0.65,408.62556652800004
69,6,6,0.01,0.8,0.8,415.67810286599996
70,6,6,0.01,0.8,1.0,411.357414978
71,6,6,0.01,0.8,2.0,410.64931313400007
72,6,6,0.01,0.9,0.1,404.89134389400004
73,6,6,0.01,0.9,0.2,405.15522013799995
74,6,6,0.01,0.9,0.3,411.66781965
75,6,6,0.01,0.9,0.4,402.640236768
76,6,6,0.01,0.9,0.5,399.28755320999994
77,6,6,0.01,0.9,0.65,405.25844157
78,6,6,0.01,0.9,0.8,403.04995013399997
79,6,6,0.01,0.9,1.0,410.093993844
80,6,6,0.01,0.9,2.0,407.12320870200006
81,6,6,0.01,1.0,0.1,411.355639974
82,6,6,0.01,1.0,0.2,413.487814374
83,6,6,0.01,1.0,0.3,406.39845856799997
84,6,6,0.01,1.0,0.4,411.9743441280001
85,6,6,0.01,1.0,0.5,412.06489509600004
86,6,6,0.01,1.0,0.65,411.70719585599994
87,6,6,0.01,1.0,0.8,405.66203463
88,6,6,0.01,1.0,1.0,412.75217488199996
89,6,6,0.01,1.0,2.0,411.01664811
90,6,6,0.01,1.1,0.1,412.071366606
91,6,6,0.01,1.1,0.2,412.013880342
92,6,6,0.01,1.1,0.3,406.781659422
93,6,6,0.01,1.1,0.4,412.675501896
94,6,6,0.01,1.1,0.5,405.317581476
95,6,6,0.01,1.1,0.65,412.034569512
96,6,6,0.01,1.1,0.8,408.697526058
97,6,6,0.01,1.1,1.0,415.025140728
98,6,6,0.01,1.1,2.0,409.15091550599993
99,6,6,0.01,1.2,0.1,406.4942050500001
100,6,6,0.01,1.2,0.2,406.914030786
101,6,6,0.01,1.2,0.3,407.4044275079999
102,6,6,0.01,1.2,0.4,402.540247362
103,6,6,0.01,1.2,0.5,412.514870814
104,6,6,0.01,1.2,0.65,406.868961414
105,6,6,0.01,1.2,0.8,410.17555859999993
106,6,6,0.01,1.2,1.0,412.314522492
107,6,6,0.01,1.2,2.0,408.60896027399997
108,6,6,0.01,1.3,0.1,413.336749194
109,6,6,0.01,1.3,0.2,408.47355147
110,6,6,0.01,1.3,0.3,414.07336432799997
111,6,6,0.01,1.3,0.4,408.67903428599993
112,6,6,0.01,1.3,0.5,410.65001689800005
113,6,6,0.01,1.3,0.65,410.167060548
114,6,6,0.01,1.3,0.8,412.17519145800003
115,6,6,0.01,1.3,1.0,407.26070438999994
116,6,6,0.01,1.3,2.0,407.179541688
117,6,6,0.01,1.4,0.1,409.635947214
118,6,6,0.01,1.4,0.2,405.8727834719999
119,6,6,0.01,1.4,0.3,408.648278172
120,6,6,0.01,1.4,0.4,409.70613987599995
121,6,6,0.01,1.4,0.5,410.676770778
122,6,6,0.01,1.4,0.65,415.378757052
123,6,6,0.01,1.4,0.8,410.66274363599996
124,6,6,0.01,1.4,1.0,413.8111796940001
125,6,6,0.01,1.4,2.0,414.23492698199993
126,6,6,0.01,1.5,0.1,413.90350566600006
127,6,6,0.01,1.5,0.2,409.95457128000004
128,6,6,0.01,1.5,0.3,410.68154322000004
129,6,6,0.01,1.5,0.4,409.94673020999994
130,6,6,0.01,1.5,0.5,417.648007458
131,6,6,0.01,1.5,0.65,412.8129908039999
132,6,6,0.01,1.5,0.8,411.65753235599993
133,6,6,0.01,1.5,1.0,410.61132547200003
134,6,6,0.01,1.5,2.0,409.4150602379999
135,6,6,0.01,1.6,0.1,409.468403922
136,6,6,0.01,1.6,0.2,409.572280302
137,6,6,0.01,1.6,0.3,409.5106399319999
138,6,6,0.01,1.6,0.4,408.86609652
139,6,6,0.01,1.6,0.5,402.1320628860001
140,6,6,0.01,1.6,0.65,412.75402921200003
141,6,6,0.01,1.6,0.8,406.9842926040001
142,6,6,0.01,1.6,1.0,405.65645333399993
143,6,6,0.01,1.6,2.0,405.513187866
144,6,6,0.01,1.7,0.1,408.739502394
145,6,6,0.01,1.7,0.2,406.473555882
146,6,6,0.01,1.7,0.3,406.69446184200007
147,6,6,0.01,1.7,0.4,414.096201402
148,6,6,0.01,1.7,0.5,412.665418002
149,6,6,0.01,1.7,0.65,408.39606217200003
150,6,6,0.01,1.7,0.8,414.70169676000006
151,6,6,0.01,1.7,1.0,403.159375944
152,6,6,0.01,1.7,2.0,407.416634898
153,6,6,0.01,1.8,0.1,408.547654158
154,6,6,0.01,1.8,0.2,413.28405096600005
155,6,6,0.01,1.8,0.3,410.14379769
156,6,6,0.01,1.8,0.4,412.16633813399994
157,6,6,0.01,1.8,0.5,405.8133303299999
158,6,6,0.01,1.8,0.65,411.461669682
159,6,6,0.01,1.8,0.8,400.90239530400004
160,6,6,0.01,1.8,1.0,416.02327741199986
161,6,6,0.01,1.8,2.0,411.005434668
162,6,6,0.01,1.9,0.1,403.445032938
163,6,6,0.01,1.9,0.2,410.99680101599995
164,6,6,0.01,1.9,0.3,407.941154004
165,6,6,0.01,1.9,0.4,411.02695438800004
166,6,6,0.01,1.9,0.5,411.06842764800007
167,6,6,0.01,1.9,0.65,404.477173356
168,6,6,0.01,1.9,0.8,409.86780219599996
169,6,6,0.01,1.9,1.0,410.987359866
170,6,6,0.01,1.9,2.0,411.93230406000004
171,6,6,0.01,2.0,0.1,414.83899514999996
172,6,6,0.01,2.0,0.2,409.35848995200007
173,6,6,0.01,2.0,0.3,411.378565866
174,6,6,0.01,2.0,0.4,409.592598606
175,6,6,0.01,2.0,0.5,413.78767818
176,6,6,0.01,2.0,0.65,406.966763592
177,6,6,0.01,2.0,0.8,412.966411356
178,6,6,0.01,2.0,1.0,405.498746466
179,6,6,0.01,2.0,2.0,403.645338546
180,6,6,0.2,0.1,0.1,409.28404284
181,6,6,0.2,0.1,0.2,414.2310203459999
182,6,6,0.2,0.1,0.3,414.571363464
183,6,6,0.2,0.1,0.4,412.39540857
184,6,6,0.2,0.1,0.5,411.720130062
185,6,6,0.2,0.1,0.65,413.19565671600003
186,6,6,0.2,0.1,0.8,408.7666278180001
187,6,6,0.2,0.1,1.0,413.53078465799996
188,6,6,0.2,0.1,2.0,412.67998754399997
189,6,6,0.2,0.2,0.1,411.1730715239999
190,6,6,0.2,0.2,0.2,405.55786738800003
191,6,6,0.2,0.2,0.3,409.30091758199995
192,6,6,0.2,0.2,0.4,410.406249456
193,6,6,0.2,0.2,0.5,409.2844699799999
194,6,6,0.2,0.2,0.65,410.76394733999996
195,6,6,0.2,0.2,0.8,408.987863286
196,6,6,0.2,0.2,1.0,409.95810705
197,6,6,0.2,0.2,2.0,423.13812940799994
198,6,6,0.2,0.3,0.1,409.00253724000004
199,6,6,0.2,0.3,0.2,408.637589502
200,6,6,0.2,0.3,0.3,410.163871236
201,6,6,0.2,0.3,0.4,403.545611526
202,6,6,0.2,0.3,0.5,407.061465954
203,6,6,0.2,0.3,0.65,410.05369759200005
204,6,6,0.2,0.3,0.8,416.908743378
205,6,6,0.2,0.3,1.0,413.78871619800003
206,6,6,0.2,0.3,2.0,417.925708122
207,6,6,0.2,0.4,0.1,405.3713251799998
208,6,6,0.2,0.4,0.2,407.48888189999997
209,6,6,0.2,0.4,0.3,410.98999932000004
210,6,6,0.2,0.4,0.4,407.65610788799995
211,6,6,0.2,0.4,0.5,410.99385442799996
212,6,6,0.2,0.4,0.65,410.43527056799996
213,6,6,0.2,0.4,0.8,409.17830263800005
214,6,6,0.2,0.4,1.0,410.108102346
215,6,6,0.2,0.4,2.0,416.46911800799995
216,6,6,0.2,0.5,0.1,411.80807615399993
217,6,6,0.2,0.5,0.2,412.990927158
218,6,6,0.2,0.5,0.3,406.9293068039999
219,6,6,0.2,0.5,0.4,410.65054234799993
220,6,6,0.2,0.5,0.5,410.82879464999996
221,6,6,0.2,0.5,0.65,415.65801508199996
222,6,6,0.2,0.5,0.8,411.26596972799996
